Team Name,Player Name,"Is Captain (0,1)"
Chennai Super Kings,Ruturaj Gaikwad,1
Chennai Super Kings,MS Dhoni,0
Chennai Super Kings,Ravindra Jadeja,0
Chennai Super Kings,Shivam Dube,0
Chennai Super Kings,Matheesha Pathirana,0
Chennai Super Kings,Noor Ahmad,0
Chennai Super Kings,Ravichandran Ashwin,0
Chennai Super Kings,Devon Conway,0
Chennai Super Kings,Syed Khaleel Ahmed,0
Chennai Super Kings,Rachin Ravindra,0
Chennai Super Kings,Rahul Tripathi,0
Chennai Super Kings,Vijay Shankar,0
Chennai Super Kings,Sam Curran,0
Chennai Super Kings,Shaik Rashid,0
Chennai Super Kings,Anshul Kamboj,0
Chennai Super Kings,Mukesh Choudhary,0
Chennai Super Kings,Deepak Hooda,0
Chennai Super Kings,Gurjanpreet Singh,0
Chennai Super Kings,Nathan Ellis,0
Chennai Super Kings,Jamie Overton,0
Chennai Super Kings,Kamlesh Nagarkoti,0
Chennai Super Kings,Ramakrishnan Ghosh,0
Chennai Super Kings,Shreyas Gopal,0
Chennai Super Kings,Vansh Bedi,0
Chennai Super Kings,Andre Siddarth,0
Mumbai Indians,Hardik Pandya,1
Mumbai Indians,Jasprit Bumrah,0
Mumbai Indians,Rohit Sharma,0
Mumbai Indians,Tilak Verma,0
Mumbai Indians,Trent Boult,0
Mumbai Indians,Naman Dhir,0
Mumbai Indians,Robin Minz,0
Mumbai Indians,Karn Sharma,0
Mumbai Indians,Ryan Rickelton,0
Mumbai Indians,Deepak Chahar,0
Mumbai Indians,Will Jacks,0
Mumbai Indians,Ashwani Kumar,0
Mumbai Indians,Mitchell Santner,0
Mumbai Indians,Reece Topley,0
Mumbai Indians,Shrijith Krishnan,0
Mumbai Indians,Raj Angad Bawa,0
Mumbai Indians,Venkat Satyanarayana Raju,0
Mumbai Indians,Bevon Jacobs,0
Mumbai Indians,Arjun Tendulkar,0
Mumbai Indians,Vignesh Puthhur,0
Mumbai Indians,Suryakumar Yadav,0
Kolkata Knight Riders,Ajinkya Rahane,1
Kolkata Knight Riders,Rinku Singh,0
Kolkata Knight Riders,Quinton de Kock,0
Kolkata Knight Riders,Rahmanullah Gurbaz,0
Kolkata Knight Riders,Angkrish Raghuvanshi,0
Kolkata Knight Riders,Venkatesh Iyer,0
Kolkata Knight Riders,Ramandeep Singh,0
Kolkata Knight Riders,Andre Russell,0
Kolkata Knight Riders,Anrich Nortje,0
Kolkata Knight Riders,Harshit Rana,0
Kolkata Knight Riders,Sunil Narine,0
Kolkata Knight Riders,Varun Chakaravarthy,0
Kolkata Knight Riders,Vaibhav Arora,0
Kolkata Knight Riders,Mayank Markande,0
Kolkata Knight Riders,Rovman Powell,0
Kolkata Knight Riders,Manish Pandey,0
Kolkata Knight Riders,Spencer Johnson,0
Kolkata Knight Riders,Luvnith Sisodia,0
Kolkata Knight Riders,Anukul Roy,0
Kolkata Knight Riders,Moeen Ali,0
Royal Challengers Bengaluru,Rajat Patidar,1
Royal Challengers Bengaluru,Virat Kohli,0
Royal Challengers Bengaluru,Yash Dayal,0
Royal Challengers Bengaluru,Josh Hazlewood,0
Royal Challengers Bengaluru,Phil Salt,0
Royal Challengers Bengaluru,Jitesh Sharma,0
Royal Challengers Bengaluru,Liam Livingstone,0
Royal Challengers Bengaluru,Rasikh Dar,0
Royal Challengers Bengaluru,Suyash Sharma,0
Royal Challengers Bengaluru,Krunal Pandya,0
Royal Challengers Bengaluru,Bhuvneshwar Kumar,0
Royal Challengers Bengaluru,Swapnil Singh,0
Royal Challengers Bengaluru,Tim David,0
Royal Challengers Bengaluru,Romario Shepherd,0
